Fecha,Sin indexar,Indexadas,Impresiones
2026-05-22,,,48
2026-05-23,,,58
2026-05-24,191,23,59
2026-05-25,189,23,46
2026-05-26,189,23,50
2026-05-27,189,23,65
2026-05-28,189,23,74
2026-05-29,188,23,68
2026-05-30,188,23,62
2026-05-31,188,23,39
2026-06-01,187,24,37
2026-06-02,187,24,35
2026-06-03,187,24,54
2026-06-04,187,24,55
2026-06-05,186,25,33
2026-06-06,186,25,56
2026-06-07,186,25,47
2026-06-08,187,24,50
2026-06-09,187,24,70
2026-06-10,187,24,55
2026-06-11,187,24,67
2026-06-12,180,27,49
2026-06-13,180,27,84
2026-06-14,180,27,47
2026-06-15,180,27,72
2026-06-16,180,27,51
2026-06-17,180,27,47
2026-06-18,180,27,47
2026-06-19,180,27,61
2026-06-20,180,27,54
2026-06-21,180,27,65
2026-06-22,180,27,55
2026-06-23,180,27,73
2026-06-24,180,27,37
2026-06-25,180,27,61
2026-06-26,180,27,37
2026-06-27,180,27,219
2026-06-28,180,27,72
2026-06-29,180,27,36
2026-06-30,177,28,49
2026-07-01,177,28,50
2026-07-02,177,28,43
2026-07-03,177,28,28
2026-07-04,177,28,40
2026-07-05,177,28,37
2026-07-06,177,28,46
2026-07-07,177,28,63
2026-07-08,177,28,87
2026-07-09,177,28,27
2026-07-10,160,32,36
2026-07-11,160,32,52
2026-07-12,160,32,35
2026-07-13,160,32,47
2026-07-14,160,32,43
2026-07-15,160,32,100
2026-07-16,160,32,47
2026-07-17,160,32,15
2026-07-18,160,32,42
2026-07-19,160,32,51
2026-07-20,160,32,27
2026-07-21,160,32,54
2026-07-22,160,32,36
2026-07-23,160,32,42
2026-07-24,131,34,17
2026-07-25,131,34,53
2026-07-26,131,34,46
2026-07-27,131,34,49
2026-07-28,131,34,41
2026-07-29,131,34,47
2026-07-30,131,34,34
2026-07-31,131,34,28
2026-08-01,131,34,49
2026-08-02,131,34,26
2026-08-03,131,34,21
2026-08-04,131,34,34
2026-08-05,134,34,38
2026-08-06,134,34,36
2026-08-07,137,34,22
2026-08-08,137,34,65
2026-08-09,137,34,40
2026-08-10,139,34,38
2026-08-11,139,34,42
2026-08-12,139,34,37
2026-08-13,139,34,35
2026-08-14,137,34,18
2026-08-15,137,34,45
2026-08-16,137,34,35
