País,Clics,Impresiones,CTR,Posición
México,64,3741,1.71%,22.17
La India,4,11,36.36%,10.91
Colombia,3,20,15%,20.15
Perú,2,15,13.33%,4.07
Estados Unidos,0,526,0%,10.13
España,0,52,0%,37.23
Canadá,0,35,0%,23.17
Brasil,0,16,0%,12
Argentina,0,11,0%,37.27
Corea del Sur,0,9,0%,12.56
Reino Unido,0,8,0%,27.62
Francia,0,7,0%,14.43
Costa Rica,0,4,0%,2.5
Venezuela,0,4,0%,9.25
Arabia Saudí,0,4,0%,12.25
Guatemala,0,4,0%,15.5
Italia,0,4,0%,22
Japón,0,4,0%,22
Bolivia,0,3,0%,4.67
Chile,0,3,0%,8
Emiratos Árabes Unidos,0,3,0%,16.67
Alemania,0,3,0%,30.67
Ecuador,0,3,0%,38
Rumanía,0,2,0%,3
Países Bajos,0,2,0%,3.5
Polonia,0,2,0%,9
Turquía,0,2,0%,9.5
Noruega,0,2,0%,10
Indonesia,0,2,0%,10.5
Nicaragua,0,2,0%,14
Rusia,0,2,0%,16
China,0,2,0%,30.5
Tailandia,0,2,0%,39
Pakistán,0,1,0%,1
Túnez,0,1,0%,1
Argelia,0,1,0%,3
Finlandia,0,1,0%,4
Iraq,0,1,0%,4
Palestina,0,1,0%,4
Uruguay,0,1,0%,4
Sudáfrica,0,1,0%,4
Austria,0,1,0%,5
Bielorrusia,0,1,0%,7
Dinamarca,0,1,0%,7
Bélgica,0,1,0%,9
Suiza,0,1,0%,9
Jamaica,0,1,0%,9
Irán,0,1,0%,10
Nueva Zelanda,0,1,0%,10
Malasia,0,1,0%,11
Islas Vírgenes Británicas,0,1,0%,31
Eslovenia,0,1,0%,42
Curazao,0,1,0%,43
Croacia,0,1,0%,47
Irlanda,0,1,0%,50
Suecia,0,1,0%,98
