Motivo,Fuente,Validación,Páginas
No se ha encontrado (404),Sitio web,No iniciada,27
Página alternativa con etiqueta canónica adecuada,Sitio web,No iniciada,21
"Excluida por una etiqueta ""noindex""",Sitio web,No iniciada,15
Página con redirección,Sitio web,No iniciada,3
Se ha bloqueado debido a que el acceso no está permitido (403),Sitio web,No iniciada,2
Duplicada: el usuario no ha indicado ninguna versión canónica,Sitio web,No iniciada,1
Bloqueada por robots.txt,Sitio web,No iniciada,1
Rastreada: actualmente sin indexar,Sistemas de Google,No iniciada,42
Descubierta: actualmente sin indexar,Sistemas de Google,No iniciada,20
Duplicada: Google ha elegido una versión canónica diferente a la del usuario,Sistemas de Google,No iniciada,5
